Sentence,Annotation,Implicit/Explicit,Intent,Keyword1,Keyword2,Keyword3,Keyword4,Keyword5
"Possessing 20% of the world\xe2\x80\x99s proven petroleum reserves, Saudi Arabia has long played the expected role of benefactor among its fellow Arab and Muslim countries",Unity/Cooperation/Alliance, Explicit, Positive, Petroleum Reserves,None,None,None,None
 With a total aid budget of $3,Change/ Reform/Revolution, Explicit, Positive, Aid Budget,None,None,None,None
"1 billion in 2009 , Saudi Arabia keeps one of the largest humanitarian aid funds in the world",Unity/Cooperation/Alliance, Explicit, Positive, Humanitarian Aid,None,None,None,None
" Much of that aid went to hardship-struck Muslim nations, including Pakistan, Somalia and the Palestinians",Unity/Cooperation/Alliance, Explicit, Positive, Aid,None,None,None,None
" But since the Arab Spring took root this year, Saudi Arabia has spread its largesse among its own citizens and Gulf Cooperation Council (GCC) neighbors \xe2\x80\x94 a large part of $150 billion worth of social welfare spending in the region since the unrest began, according to a new report by Merrill Lynch Bank of America",Unity/Cooperation/Alliance, Explicit, Positive, Arab Spring,None,None,None,None
" Only days following the collapse of former Egyptian president Hosni Mubarak\xe2\x80\x99s regime in February, for instance, Saudi Arabia announced a social welfare package for its citizens worth $10",Change/ Reform/Revolution, Explicit, Positive, Collapse,None,None,None,None
"7 billion, featuring pay raises for government employees, new jobs and loan forgiveness schemes",Change/ Reform/Revolution, Explicit, Positive, Pay Raises,None,None,None,None
" By the end of the month, the handouts totaled $37 billion",Economy/Money/Finance/Trade/GDP, Explicit, Positive, Handouts,None,None,None,None
" In March, the trend continued, as Saudi Arabia\xe2\x80\x99s King Abdullah heralded an additional $93 billion in social spending",Unity/Cooperation/Alliance, Explicit, Positive, Social Spending,None,None,None,None
" Such generosity was no coincidence, noted the Merrill Lynch Bank of America report\xe2\x80\x99s authors",Unity/Cooperation/Alliance, Implicit, Positive, Generosity,None,None,None,None
" \xe2\x80\x9cThe initial response of GCC policymakers [to the Arab revolt] has been to sharply increase current spending to accommodate social pressures and to pledge intra-regional fiscal transfers to less endowed members,\xe2\x80\x9d wrote Jean-Michel Saliba, Middle East and North Africa economist for the firm",Change/ Reform/Revolution, Explicit, Positive, GCC,None,None,None,None
