Website,Title,Date,Author,Sentence,Code
www.nytimes.com,Egypt Cuts Off Most Internet and Cell Service (Published 2011),2011-01-28T17:37:45,,Autocratic governments often limit phone and Internet access in tense times," 5, Explicit, Negative"
www.nytimes.com,Egypt Cuts Off Most Internet and Cell Service (Published 2011),2011-01-28T17:37:45,," But the Internet has never faced anything like what happened in Egypt on Friday, when the government of a country with 80 million people and a modernizing economy cut off nearly all access to the network and shut down cellphone service"," 0, Neither, Neither"
www.nytimes.com,Egypt Cuts Off Most Internet and Cell Service (Published 2011),2011-01-28T17:37:45,,"
The shutdown caused a 90 percent drop in data traffic to and from Egypt, crippling an important communications tool used by antigovernment protesters and their supporters to organize and to spread their message"," 1, Explicit, Negative"
www.nytimes.com,Egypt Cuts Off Most Internet and Cell Service (Published 2011),2011-01-28T17:37:45,,"
Vodafone, a cellphone provider based in London with 28 million subscribers in Egypt, said in a statement on its Web site that “all mobile operators in Egypt have been instructed to suspend services in selected areas"," 0, N/A, N/A"
www.nytimes.com,Egypt Cuts Off Most Internet and Cell Service (Published 2011),2011-01-28T17:37:45,,” The company said it was “obliged to comply” with the order," 1, Explicit, Positive"
www.nytimes.com,Egypt Cuts Off Most Internet and Cell Service (Published 2011),2011-01-28T17:37:45,,"
Egypt, to an unprecedented extent, pulled itself off the grid"," 0, N/A, N/A"
www.nytimes.com,Egypt Cuts Off Most Internet and Cell Service (Published 2011),2011-01-28T17:37:45,,"
“In a fundamental sense, it’s as if you rewrote the map and they are no longer a country,” said Jim Cowie, the chief technology officer of Renesys, a company based in New Hampshire that tracks Internet traffic"," 0, N/A, N/A"
www.nytimes.com,Egypt Cuts Off Most Internet and Cell Service (Published 2011),2011-01-28T17:37:45,,"
Mr"," 0, The line does not match any code."
www.nytimes.com,Egypt Cuts Off Most Internet and Cell Service (Published 2011),2011-01-28T17:37:45,, Cowie added," 11, Explicit, Positive"
www.nytimes.com,Egypt Cuts Off Most Internet and Cell Service (Published 2011),2011-01-28T17:37:45,, “I’ve never seen it happen at this scale," 0, N/A, N/A"
