Website,Title,Date,Author,Sentence,Code
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS",Qatar can afford many more $8 billion handouts," 1, Explicit, Positive"
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS", Nationals employed in the public sector have been awarded pay raises of 50 to 120 percent," 1, Explicit, Positive"
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS", The risk of inflation is limited," 1, Implicit, Positive"
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS"," And unlike many of its Middle-Eastern neighbors, Qatar is rich enough to maintain its so-called social contract"," 1, Implicit, Positive"
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS",The emirate is under no pressure to spend its riyals," 0, Explicit, Neutral"
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS", Qatar has been spared the unrest brought elsewhere by the Arab Spring and demands for political reform are timid," 0, N/A, N/A"
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS"," The closest Qatar has come to a protest movement in recent months has been a modest, one-hour boycott of Qatar Telecom organized on social-media website Twitter"," 7, Explicit, Positive"
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS","
Qatar didn’t give an official reason for the decision to bump wages"," 0, N/A, N/A"
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS"," It may be a reward for the role played by the military in operations in Libya, or simply as a way of cheering the population as it celebrates the Muslim holiday of Eid"," 0, Implicit, Neutral"
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS", It may even be just a show of bravado," 0, N/A, N/A"
